image,ground_truth,prediction,cer
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/1.jpg,"Viết tiếp về vụ anh Trương Xuân Đại. Ngay từ khi tờ báo có bài "" Số phận của","Việc tiếp về vụ anh Trương Xuân Đại. Ngày từ khi tổ báo "" có phản của",0.18421052631578946
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/2.jpg,"những người nói lên sự thật "" phát hành, nhiều bạn đọc đã bày tỏ sự chia sẻ,","những người nói lên sự thật "" phát hành, nhân lâm đặc đã bây từ xu thả sẻ,",0.18421052631578946
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/3.jpg,ủng hộ anh Trương Xuân Đại. Một bạn đọc 67 tuổi ở Q.11 đến gửi tặng anh Trương,ứng hộ anh Trương Xuân Đại. Mặt bọn đọc 67 tuổi ở Q. 11 đến gửi tặng anh Trương,0.05128205128205128
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/4.jpg,"Xuân Đại 150.000 đồng, một cô gái tên Nhung ở Tân Bình gửi tặng 100.000 đ,","Xuân Đại 150.000 đồng, một số người trên thùng ở Tân Bình gửi tặng 100.000 đ,",0.10810810810810811
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/5.jpg,một thanh niên tên Hà đến gửi 200.000 đ. Sau đó nữa là rất,một thanh niên tên Hà đến quận 200.000 đ. Sau đó mùa lãi là ngày,0.2413793103448276
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/6.jpg,"nhiều bạn đọc gọi đến bày tỏ sự chia sẻ, ủng hộ.","nhiều hơn đặc quốc đến bảy số sự chủ sở, cũng hơn",0.3541666666666667
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/7.jpg,Ban biên tập báo Tuổi Trẻ cũng quyết định gửi tặng nhóm công nhân,Ban bảo lập báo trước tư công quyền Trịnh giá tổng nhân công nhân,0.3384615384615385
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/8.jpg,đã tố cáo tiêu cực ở đường liên cảng A5 10 triệu đồng. Đừng để người dân,để tổ chức cuộc ở đường lưu động A5 10 tuần đây. Đây vì người dân,0.3888888888888889
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/9.jpg,"đặt cược cho niềm tin! Qua báo chí, bản thân tôi đã được biết về việc tố cáo những","đặc cưước cho niềm tin! Qua bốn chị, bạn thân bốn đã lượt về về tổ cáo những",0.24390243902439024
/kaggle/input/uit-hwdb/UIT_HWDB_line/UIT_HWDB_line/test_data/253/10.jpg,"sai phạm của công rình đường liên cảng A5 mấy năm trước đây, nhưng nay","Đại phạm của công trình đường liên cảng A5 mang năm trước đây, nhưng nay",0.08571428571428572
